Date,Startup Name,Vertical,SubVertical,City Location,Investors,Round,Amount,Startup Names,Industries,Funding Rounds,Investment Amount,Valuation,Number of Investors,Country,Year Founded,Growth Rate (%)
2020-01-09,BYJUS,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,2720.0,Startup_1,Blockchain,8,1335165853.1,6621448041.824468,50,Germany,2012,77.1
2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,109.4581584,Startup_2,SaaS,2,2781498219.93,8363214103.88975,36,UK,2006,105.52
2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,249.680496,Startup_3,EdTech,10,3309031930.22,15482697353.099028,39,Singapore,2016,190.47
2020-01-02,,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,40.8,Startup_4,Fintech,5,4050196269.12,12682527892.17541,44,France,2021,9.44
2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,24.48,Startup_5,EdTech,9,1645080294.64,6887965942.865217,48,India,2011,192.0
2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,122.4,Startup_6,EdTech,3,3939088574.84,11462969525.297262,38,Singapore,2003,26.28
2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,2040.0,Startup_7,HealthTech,8,1349245127.85,2490393546.173328,24,India,2017,104.98
2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,81.6,Startup_8,Blockchain,7,4128951425.92,16303568856.291613,24,India,2006,89.13
2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,952.0,Startup_9,Blockchain,3,3950045010.91,9733266248.997322,5,Brazil,2007,57.99
2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed,680.0,Startup_10,Fintech,10,4865378632.8,18692791832.252808,31,USA,2000,31.16
2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,272.0,Startup_11,HealthTech,7,2797198504.14,13826645051.84505,17,UK,2019,33.69
2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,163.2,Startup_12,E-commerce,2,1726597437.89,7608269223.785214,19,Canada,2021,199.0
2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,408.0,Startup_13,HealthTech,5,1818562344.1,4835268340.067286,14,China,2000,105.73
2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,80.24,Startup_14,E-commerce,7,1095961480.41,3965453491.279286,44,Australia,2016,31.95
2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,27.2,Startup_15,Blockchain,3,4195481545.25,13491122379.383991,24,India,2009,99.34
2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,680.0,Startup_16,EdTech,6,3098366688.83,7743384208.769788,32,UK,2008,142.01
2019-12-20,Lenskartcom,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,3141.6,Startup_17,SaaS,2,2545210318.74,11381431784.3641,46,Australia,2010,164.5
2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,2040.0,Startup_18,Biotech,4,2695914069.44,11492050840.25098,29,Brazil,2013,25.17
2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,6.6096,Startup_19,E-commerce,9,3434765565.55,10200304017.1882,28,Singapore,2021,93.38
2019-11-13,Sunstone Eduversity Pvt Ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed,20.4,Startup_20,SaaS,1,567429029.03,2805347516.8289385,50,UK,2016,115.76
2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0,Startup_21,Blockchain,7,3427058576.36,12358527827.868353,35,Brazil,2001,46.26
2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,163.2,Startup_22,SaaS,4,3465387849.44,5927235280.188162,45,Singapore,2021,107.46
2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,353.6,Startup_23,EdTech,9,4566754284.14,7545805565.319331,7,Singapore,2014,69.76
2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,236.793204,Startup_24,AI,4,3021729517.51,5211428908.023629,2,USA,2014,114.99
2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,17.68,Startup_25,E-commerce,8,288205121.58,1415080231.4529824,22,Germany,2021,176.28
2019-11-20,Clumio,SaaS,Recovery software,"San Jose,","Altimeter Capital, Sutter Hill Ventures",Series C,1836.0,Startup_26,E-commerce,10,3334508349.99,5015410780.912428,1,Brazil,2017,154.84
2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,4.08,Startup_27,Biotech,2,4166499162.52,16357699018.240278,22,Germany,2002,82.81
2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,2992.0,Startup_28,EdTech,5,440011615.23,1565465840.3469183,9,China,2013,146.55
2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,"Ackermans & van Haaren, HealthQuad, Rebright Partners, Toppan Printing",Series B,214.88,Startup_29,E-commerce,3,3256022294.9,8096886148.448484,48,USA,2010,99.75
